label,paddle_y,0,ball_x,ball_y,ball_dx,ball_dy,x_prev,y_prev
down,258.70799999999997,0,229.30474400000097,414.54950199999917,-246.30799999999934,140.75399999999976,240.60952000000094,408.0832819999992
down,279.29999999999995,0,203.68885600000104,429.2311819999992,-247.13999999999933,141.58599999999976,217.245256000001,421.4560519999992
down,299.09999999999997,0,178.9751120000011,443.42978199999914,-247.93999999999932,142.38599999999974,192.32888000000108,435.7526019999992
down,308.604,0,167.08320800000115,450.2735259999991,-248.3239999999993,142.76999999999973,178.9751120000011,443.42978199999914
down,328.008,0,142.74747200000124,463,-249.1079999999993,-143.55399999999972,155.1728720000012,457.13570199999907
down,348.6,0,116.84025600000129,448.0704,-249.9399999999993,-144.3859999999997,130.05336800000126,455.68915
down,358.302,0,104.60280000000132,441.00509000000005,-250.33199999999928,-144.7779999999997,116.84025600000129,448.0704
down,378.102,0,79.56974400000139,426.5274340000001,-251.1319999999993,-145.57799999999972,92.84603200000136,434.20936000000006
down,397.30799999999994,0,55.20997600000146,412.4064040000001,-251.9079999999993,-146.35399999999973,67.77537600000143,419.6941040000001
stop,407.8019999999999,0,41.870088000001495,404.66087800000014,-252.3319999999993,-146.77799999999974,55.20997600000146,412.4064040000001
up,407.8019999999999,0,17.646280000001564,390.5702540000002,-253.0999999999993,-147.54599999999974,29.26348800000153,397.33197800000016
stop,308.604,0,572.000056,284.9462229818969,-160.676,160.676,580.0038559999999,276.9224229818969
up,308.604,0,474.230232,382.957302981897,-165.48399999999995,165.48399999999995,482.638704,374.528022981897
stop,278.904,0,449.37768000000005,407.869902981897,-166.68399999999994,166.68399999999994,457.516384,399.711990981897
up,278.904,0,390.85712800000005,463,-169.47599999999994,-169.47599999999994,399.13264000000004,458.23510298189694
stop,189.804,0,313.9631360000001,386.106008,-173.0759999999999,-173.0759999999999,322.5869360000001,394.729808
up,189.804,0,279.094064,351.2369359999999,-174.6839999999999,-174.6839999999999,287.798264,359.9411359999999
up,70.80599999999997,0,172.90503200000003,245.0479039999999,-179.49199999999988,-179.49199999999988,182.02791200000004,254.1707839999999
stop,70.80599999999997,0,172.90503200000003,245.0479039999999,-179.49199999999988,-179.49199999999988,182.02791200000004,254.1707839999999
up,70.80599999999997,0,118.99856000000005,191.14143199999992,-181.88399999999984,-181.88399999999984,127.88206400000006,200.0249359999999
stop,30.809999999999974,0,82.17639200000009,154.31926399999992,-183.49999999999983,-183.49999999999983,91.32139200000007,163.46426399999993
down,30.809999999999974,0,120.69951199999987,55.05679999999996,191.0839999999998,191.0839999999998,111.34599999999989,45.703287999999965
stop,50.80799999999997,0,140.03979999999984,74.39708799999994,191.8919999999998,191.8919999999998,130.45519999999985,64.81248799999995
down,50.80799999999997,0,84.91150399999998,336.6213524049701,161.50799999999998,161.50799999999998,77.32946399999997,329.03931240497013
down,159.51,0,174.7849999999999,426.49484840497007,165.89999999999998,165.89999999999998,166.49999999999991,418.2098484049701
down,179.31,0,191.41499999999988,443.12484840497007,166.7,166.7,183.0899999999999,434.7998484049701
down,199.506,0,208.46001599999988,460.1698644049701,167.516,167.516,200.2613359999999,451.9711844049701
down,209.01,0,216.5099999999999,463,167.89999999999998,-167.89999999999998,208.46001599999988,460.1698644049701
down,229.404,0,233.8461359999999,445.706336,168.724,-168.724,224.9149999999999,454.615
down,248.808,0,250.41950399999988,429.171448,169.50799999999998,-169.50799999999998,241.78499999999988,437.785144
stop,258.906,0,259.0748159999999,420.536944,169.91599999999997,-169.91599999999997,250.41950399999988,429.171448
