label,paddle_y,0,ball_x,ball_y,ball_dx,ball_dy,x_prev,y_prev
stop,367.4099999999999,0,339.8615039999993,364.99518599999953,263.49199999999945,129.83649999999994,326.9599999999993,358.6428014999995
up,367.4099999999999,0,459.242903999999,424.23161099999953,267.0919999999995,133.43649999999988,446.164999999999,417.7028264999995
stop,337.9079999999999,0,499.1284159999989,444.2024534999995,268.2839999999995,134.62849999999986,486.2599999999989,437.7495014999995
up,337.9079999999999,0,566.9899999999986,449.145493,270.2999999999995,-136.64449999999982,553.2151039999986,456.0831505
stop,209.00999999999982,0,513.3254640000002,386.55408575000007,-275.5079999999995,-72.53024999999991,527.8936800000001,390.36448100000007
down,209.00999999999982,0,472.79702400000025,375.863375,-276.68399999999957,-73.70624999999991,486.0502080000002,379.37362700000006
stop,268.60799999999983,0,389.2739440000003,353.43659775000003,-279.09199999999953,-76.11424999999993,403.4764240000003,357.2872125
down,268.60799999999983,0,319.35121600000036,334.25830725000003,-281.09199999999953,-78.11424999999993,332.81598400000036,337.98014325
stop,289.00199999999984,0,290.39874400000036,326.21254350000004,-281.91599999999954,-78.93824999999993,304.74524800000034,330.20718225
up,289.00199999999984,0,206.43467200000043,302.5328632499999,-284.2919999999995,-81.31424999999994,220.0530400000004,306.4082992499999
stop,268.80599999999987,0,177.43690400000048,294.2388257499999,-285.1079999999995,-82.13024999999995,191.66230400000046,298.31533824999985
up,268.80599999999987,0,135.21175200000056,282.0543807499999,-286.2919999999995,-83.31424999999994,149.21124800000055,286.10796699999986
stop,209.60399999999987,0,49.372176000000714,256.90515199999993,-288.6839999999995,-85.70624999999994,63.488880000000684,261.0759462499999
up,209.60399999999987,0,191.21079999999972,190.67604049999994,294.68399999999946,-91.70624999999997,177.07518399999975,195.05029249999993
stop,120.10799999999992,0,325.2251839999995,148.58979150000005,298.29999999999944,-95.32224999999995,309.4265199999995,153.60816275000005
down,120.10799999999992,0,607.6954000000001,47.19761150000006,-306.6919999999993,-52.05712499999999,623,49.77046775000006
stop,179.30999999999995,0,515.7564960000001,31.39453512500007,-309.08399999999926,-54.449124999999995,529.948968,33.87380287500007
up,179.30999999999995,0,360.41467200000034,28.359241625000003,-313.08399999999926,58.449125,376.0388720000003,25.446785375
stop,119.71199999999992,0,265.93500000000046,46.31483225000001,-315.4919999999992,60.857125,281.99388000000044,43.221522875000005
up,119.71199999999992,0,187.22890400000063,61.71626037500001,-317.4839999999992,62.84912500000001,201.8077760000006,58.83366462500001
stop,89.81399999999992,0,139.25861600000073,71.29768225000002,-318.69199999999915,64.05712500000001,154.2106320000007,68.29583337500002
up,89.81399999999992,0,27.687816000001032,94.14082287500004,-321.4839999999991,66.84912500000002,42.450688000000994,91.07422712500004
stop,49.42199999999991,0,66.02121599999987,113.05665787500006,323.11599999999913,102.11368750000001,50.19813599999991,108.06269118750006
down,49.42199999999991,0,359.0747039999989,207.87107156250005,330.291999999999,109.28968750000004,342.570103999999,202.41658718750006
stop,227.62199999999987,0,588.99492,303.62986509374997,-337.491999999999,58.64884375000002,605.83952,300.70742290625
down,227.62199999999987,0,487.8469120000004,321.523473375,-339.88399999999905,61.04084375000003,504.4724160000003,318.54207603124996
stop,307.81199999999984,0,349.7022000000007,346.9011150937499,-343.12399999999906,64.28084375000003,366.82840000000067,343.69707290624996
down,307.81199999999984,0,247.21473600000087,366.4120225312498,-345.5079999999991,66.66484375000003,264.46013600000083,363.0887803437498
stop,366.61799999999977,0,144.36395200000112,386.5643171249998,-347.883999999999,69.04084375000005,161.72815200000107,383.12227493749975
down,366.61799999999977,0,74.70736000000132,400.5324858749998,-349.48399999999896,70.64084375000006,92.15156000000127,397.0104436874998
stop,406.2179999999997,0,17,414.82065462499975,351.08399999999887,36.12042187500004,22.254904000001464,411.21861243749976
up,406.2179999999997,0,318.6692879999989,448.4559376406247,357.8919999999988,42.92842187500005,301.857199999999,446.44713781249976
stop,346.6199999999996,0,426.7571839999986,461.7397966249997,360.2999999999989,45.336421875000056,408.39228799999864,459.4380431093747
up,346.6199999999996,0,589.3382879999979,444.363684515625,363.8919999999988,-48.92842187500005,571.517183999998,446.73236518749997
stop,307.01999999999964,0,586.16692,437.00889744531247,-365.49199999999877,-25.668210937500024,604.7758,438.28676420312496
down,307.01999999999964,0,458.26247200000034,427.70295182812487,-368.2839999999988,-28.460210937500026,477.0137440000003,429.1232105859374
stop,347.2139999999996,0,383.4184240000006,421.8431330078123,-369.90799999999876,-30.084210937500025,402.6211920000005,423.37506397656233
down,347.2139999999996,0,253.97303200000098,410.9962433906247,-372.6999999999987,-32.876210937500026,272.2065200000009,412.5783657265622
stop,377.1119999999996,0,197.6651600000012,406.0017635390622,-373.90799999999865,-34.084210937500025,217.44857600000114,407.77451871874973
up,377.1119999999996,0,226.4373039999992,366.22393405468705,382.3079999999985,-42.484210937500016,206.18621599999926,368.44188923437457
stop,189.40799999999967,0,592.4601039999976,322.733686085937,389.8919999999984,-50.06821093750001,572.5860159999977,325.2559528437495
down,189.40799999999967,0,581.5883600000002,315.1319942343745,-391.5239999999984,-26.274105468750005,602.6956640000001,316.51580392968697
stop,257.91599999999966,0,445.7793440000007,305.69944174218705,-394.2919999999984,-29.04210546875,465.85702400000065,307.1493771210933
down,257.91599999999966,0,386.6055440000009,301.31312592187453,-395.4919999999983,-30.242105468749997,406.35014400000085,302.79523119531206
